# Narayanan et al. (2018) median dust attenuation curves at z = 0 to 6.
#
# Source     https://bitbucket.org/desika/narayanan_attenuation_laws/
#            file median_curve_redshifts.dat, at commit cc78a26.
# Retrieved  2026-09-07
# Paper      D. Narayanan, C. Conroy, R. Dave, B. D. Johnson and G. Popping,
#            "A Theory for the Variation of Dust Attenuation Laws in Galaxies",
#            ApJ, 869, 70 (2018). arXiv:1805.06905.
#            https://doi.org/10.3847/1538-4357/aaed25
#            These are the best-fit median attenuation curves of the paper's
#            Figure 9, from the 25 Mpc MUFASA cosmological hydrodynamic
#            simulation post-processed with dust radiative transfer.
#
# Repackaged, with attribution: every 5th row of the upstream file, verbatim
# and at full precision (917 of its 4585 rows). The upstream file repeats three
# abscissae near x = 5.93 to 5.98, where two overlapping segments were joined
# with a 1 to 3 percent step; the stride skips the repeat, so x here is
# strictly decreasing.
#
# Columns    x  z0  z1  z2  z3  z4  z5  z6
#   x        inverse wavelength 1 / lambda [1/micron], 9.9502 down to 1.0091,
#            that is lambda = 1005 to 9910 Angstrom.
#   zN       median A(lambda) at redshift N [dimensionless], on the paper's
#            normalization by the 3000 Angstrom optical depth tau_3000
#            (Section 5.1). Measured on these columns: the seven curves pass
#            through unity to within 1.2 percent at 3000 Angstrom (0.9929 to
#            1.0120) and their spread across z is smallest there. They are not
#            on A_V = 1, which is why the Kriek and Conroy (2013) fit in
#            scripts/fit_narayanan2018_medians.py carries a free normalization.
#
# x z0 z1 z2 z3 z4 z5 z6
2.7611856597491418 0.7246752998605276 0.7935160290833576 0.7694252027310298 0.7808167462744384 0.7989722302215428 0.8944010742215464 0.8811225945893028
2.7577582150376863 0.7229486780931526 0.7920698530369185 0.7681105682045273 0.779704407008496 0.7978785916990209 0.8941068884726724 0.8806523216404575
2.7543391928502645 0.7212426580002601 0.7906062435475383 0.7667909644775254 0.7785960271815295 0.7967765625049181 0.8937797594168636 0.8801642641587786
2.750928713533689 0.719558196395214 0.7891251788987574 0.7654660669507048 0.7774910179190438 0.795665349921159 0.8934176858319035 0.8796570431337797
2.7475265941341633 0.7178960607052431 0.7876265447830079 0.7641354536080907 0.776388698442104 0.7945440937582163 0.8930187221672132 0.8791292861936991
2.7441328792561777 0.7162570898623427 0.7861103636887932 0.7627988114817372 0.7752884695456751 0.7934120407125809 0.892581037599983 0.8785797087541376
2.7407476129116075 0.7146420775282627 0.7845766979335167 0.7614558496289654 0.7741897411387394 0.7922684733589889 0.8921029002739224 0.8780070855901877
2.737370613729715 0.7130516646720347 0.7830255456466998 0.7601062096683571 0.7730918605897562 0.7911126347591797 0.8915826458794454 0.8774102135747295
2.7340019262137174 0.711486552851467 0.7814570451365955 0.7587496454038222 0.7719942604963733 0.78994388271381 0.8910187454878928 0.8767879909716993
2.7306415942796334 0.7099473921064805 0.7798713742988271 0.7573859345907588 0.7708963867182848 0.7887616166021137 0.8904097820226115 0.8761393846496854
