code,id,logmstar,logmstar_lo,logmstar_hi,logsfr,logsfr_lo,logsfr_hi,mass_definition_note,sfr_timescale_note
BAGPIPES,4062,10.786543339084208,10.66944494880707,10.850352797795436,-14.764037811913553,-55.44199659580564,-2.304354794573248,survived stellar mass,instantaneous
BAGPIPES,4171,10.679697075598213,10.5412864440901,10.74736872491178,1.3355679256800925,1.2700770254409273,1.4449875648723411,survived stellar mass,instantaneous
BAGPIPES,4187,9.774097309864358,9.66171518390942,9.856906608435137,1.027037574850814,0.9279121568678642,1.1431029950482323,survived stellar mass,instantaneous
BAGPIPES,4216,11.06318645473717,11.008912193243363,11.140770088475547,1.738916873523073,1.5946972383863653,1.8560717990626845,survived stellar mass,instantaneous
BAGPIPES,4348,10.357291271072521,10.275264119847023,10.443458137745909,1.2363850306934323,1.138334168292979,1.3720686846946502,survived stellar mass,instantaneous
BAGPIPES,4376,10.772918277672643,10.732603235523053,10.80962539714329,1.9716479628635886,1.7401721879261824,2.1244143746997746,survived stellar mass,instantaneous
BAGPIPES,4459,10.107020508188953,10.035778210354811,10.193687885353627,-9.6096955726365,-33.75582991167296,-2.1048057152235162,survived stellar mass,instantaneous
BAGPIPES,4529,11.267875730653794,11.106043729241003,11.306219520323276,-36.75031592348723,-184.46182926669417,-6.018431247905149,survived stellar mass,instantaneous
BAGPIPES,4589,9.365278448438056,9.263958344357027,9.441490328046383,0.019893566507912734,-0.04927259537869008,0.1336641064595667,survived stellar mass,instantaneous
BAGPIPES,4608,10.876312068613807,10.821837156887016,10.943346614845819,0.85785801946335,-0.31033252853096727,1.111496516903857,survived stellar mass,instantaneous
BAGPIPES,4644,9.564378894667113,9.437322562159416,9.664909762727364,0.3386510641472106,0.22657674833427638,0.5328749122698375,survived stellar mass,instantaneous
BAGPIPES,5012,9.781814835373023,9.667342101097963,9.862360636105095,0.9560378715990182,0.8798434545147603,1.0901927999034462,survived stellar mass,instantaneous
BAGPIPES,5068,9.791980707426344,9.727783972395102,9.86912517150718,-4.646044614575535,-21.644837707251018,-0.9792967579153076,survived stellar mass,instantaneous
BAGPIPES,5219,9.616415800492467,9.499322286760329,9.697472164088731,0.8401857737816162,0.7114685794965383,0.9786543828847462,survived stellar mass,instantaneous
BAGPIPES,5568,9.506064213922338,9.37988053026311,9.59533854879021,0.19563194359761676,0.09694050698456579,0.3743161463736037,survived stellar mass,instantaneous
BAGPIPES,5789,9.481946452037072,9.35836130845106,9.582722047374533,0.2467110608567854,0.13069198037894034,0.4228348876555312,survived stellar mass,instantaneous
BAGPIPES,5845,9.250505298682713,9.148088148129244,9.324984975336065,-0.14426190094464256,-0.19737311244141398,-0.06991936149331313,survived stellar mass,instantaneous
BAGPIPES,5950,10.13043917838959,10.041296379316146,10.20790688682126,-12.206525003358376,-40.321357778777,-2.927368066858328,survived stellar mass,instantaneous
BAGPIPES,6141,9.673156405552078,9.591878803938174,9.736349652421794,0.8456560224176389,0.7496077730330886,0.9521085807064491,survived stellar mass,instantaneous
BAGPIPES,6159,9.509895662828207,9.394015400957588,9.6097036579926,0.8536207823798325,0.7356740911911408,0.9869968965997321,survived stellar mass,instantaneous
BAGPIPES,6221,10.870012533927202,10.807010388797009,10.926696453401073,1.7206073121845062,1.635345600476731,1.8152204654016844,survived stellar mass,instantaneous
BAGPIPES,6401,10.485279116001935,10.42665951317555,10.579105903551943,-1.0424109952830263,-8.548984530137286,0.06670646460774347,survived stellar mass,instantaneous
BAGPIPES,6665,9.359723621911495,9.252130255352721,9.437150358219764,0.7044433579303517,0.621788137669416,0.8201901830810426,survived stellar mass,instantaneous
BAGPIPES,7011,9.967836230732754,9.919632408753179,10.00703985233152,1.0293486421386262,0.9152270214523617,1.1112801829542582,survived stellar mass,instantaneous
BAGPIPES,7094,8.946654699601938,8.890858041409611,8.991228249450616,0.1172775083780545,0.046452725205755656,0.1962609534384501,survived stellar mass,instantaneous
